<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.11.02	11:24:00	1709000	1709000	1709000	1709000	2	2	3000
2020.11.02	11:45:00	1702000	1702000	1702000	1702000	1	1	2000
2020.11.02	11:50:00	1702000	1702000	1702000	1702000	1	1	5000
2020.11.02	11:56:00	1705000	1705000	1705000	1705000	1	1	6000
2020.11.02	11:59:00	1701000	1701000	1701000	1701000	2	2	6000
2020.11.02	12:14:00	1707000	1707000	1707000	1707000	2	5	6000
2020.11.02	12:16:00	1708000	1712000	1708000	1712000	7	15	7000
2020.11.02	12:22:00	1703000	1703000	1703000	1703000	3	3	1000
2020.11.02	12:52:00	1710000	1710000	1710000	1710000	1	1	6000
2020.11.02	12:53:00	1712000	1713000	1712000	1713000	2	2	1000
2020.11.02	12:54:00	1715000	1728000	1712000	1718000	10	14	2000
2020.11.02	12:56:00	1718000	1718000	1718000	1718000	3	4	2000
2020.11.02	13:09:00	1712000	1712000	1710000	1710000	4	8	6000
2020.11.02	13:18:00	1710000	1710000	1710000	1710000	2	3	5000
2020.11.02	13:27:00	1711000	1711000	1709000	1709000	3	4	3000
2020.11.02	13:47:00	1713000	1713000	1713000	1713000	1	1	3000
2020.11.02	13:53:00	1715000	1715000	1715000	1715000	1	1	2000
2020.11.02	14:04:00	1716000	1716000	1716000	1716000	1	1	3000
2020.11.02	14:10:00	1714000	1714000	1708000	1708000	6	9	1000
2020.11.02	14:42:00	1713000	1713000	1713000	1713000	1	1	3000
2020.11.02	14:49:00	1712000	1715000	1712000	1715000	3	3	3000
2020.11.02	14:53:00	1709000	1709000	1706000	1706000	6	12	1000
2020.11.02	14:54:00	1714000	1715000	1714000	1715000	3	6	9000
2020.11.02	14:56:00	1706000	1706000	1706000	1706000	2	2	1000
2020.11.02	14:57:00	1706000	1706000	1706000	1706000	2	4	11000
2020.11.02	14:58:00	1706000	1706000	1706000	1706000	3	3	0
