<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.11.22,11:53:00,138800,138900,138800,138900,35
2020.11.22,11:54:00,138800,138800,138800,138800,21
2020.11.22,11:56:00,138800,138800,138700,138700,70
2020.11.22,11:57:00,138800,138800,138400,138400,268
2020.11.22,11:58:00,138400,138500,138300,138500,7
2020.11.22,11:59:00,138500,138600,138400,138400,11
2020.11.22,12:00:00,138400,138400,137600,137600,653
2020.11.22,12:01:00,137500,137800,137400,137600,345
2020.11.22,12:02:00,137600,137900,137600,137900,84
2020.11.22,12:03:00,137900,138000,137700,137900,93
2020.11.22,12:04:00,137800,138000,137800,138000,21
2020.11.22,12:05:00,138000,138000,137700,137700,114
2020.11.22,12:06:00,137700,137800,137600,137700,19
2020.11.22,12:07:00,137900,137900,137400,137500,322
2020.11.22,12:08:00,137500,137600,137500,137600,29
2020.11.22,12:09:00,137700,137800,137700,137800,2
2020.11.22,12:10:00,137800,137900,137700,137700,71
2020.11.22,12:11:00,137800,137800,137600,137600,11
2020.11.22,12:12:00,137700,137900,137600,137900,30
2020.11.22,12:13:00,137600,137600,137600,137600,43
2020.11.22,12:14:00,137600,137600,137500,137500,4
2020.11.22,12:15:00,137600,137600,137500,137500,17
2020.11.22,12:16:00,137600,137700,137500,137500,57
2020.11.22,12:17:00,137600,137600,137600,137600,20
2020.11.22,12:18:00,137600,137600,137400,137500,144
2020.11.22,12:19:00,137500,137600,137000,137100,279
2020.11.22,12:20:00,137100,137400,137100,137200,183
2020.11.22,12:21:00,137200,137300,136800,137300,478
2020.11.22,12:22:00,137300,137300,137000,137100,104
2020.11.22,12:23:00,137300,137300,136900,136900,52
2020.11.22,12:24:00,136800,137300,136700,136700,198
2020.11.22,12:25:00,136700,136700,136300,136300,387
2020.11.22,12:26:00,136300,136800,136300,136600,200
2020.11.22,12:27:00,136700,137000,136600,136800,87
2020.11.22,12:28:00,136800,136900,136800,136900,38
2020.11.22,12:29:00,136900,137000,136700,136800,32
2020.11.22,12:30:00,136700,136800,136700,136800,18
2020.11.22,12:31:00,136800,137200,136800,137200,261
2020.11.22,12:32:00,137100,137400,137100,137100,242
