<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2019.10.23,308314.88,309188.25,305806,305809.84,977
2019.10.26,305807.59,305911.53,303503.5,303503.5,1796
2019.10.28,303449.81,305939.66,303449.81,305939.66,2055
2019.10.30,305969.91,309632.5,305969.91,309632.5,1566
2019.11.02,309661.31,311367.19,308775.41,308775.41,1910
2019.11.03,308730.16,309488.47,308223.22,308961.13,2277
2019.11.04,308960.91,308960.91,304889.25,304889.25,2288
2019.11.05,304676.47,305342.78,304091.75,305333.34,1011
2019.11.09,305333.22,307029.22,305333.22,305858.78,1188
2019.11.10,305858.88,305911.94,302795,302795,1182
2019.11.11,302795.09,303943.03,302795.09,303943.03,1273
2019.11.12,303944.09,306978.88,303944.09,306655.69,1165
2019.11.13,306655.34,307289.34,306655.34,307094.31,1445
2019.11.16,307094.09,308852.31,306885.72,306885.72,1342
2019.11.17,306885.78,306885.78,302343.19,302343.19,1374
2019.11.18,302340.56,302800.88,301763.06,302727.75,1863
2019.11.19,302726.28,304891.28,302726.28,304688,2126
2019.11.20,304688.53,305450.19,304688.53,305037.5,1734
2019.11.23,304997,306144,304997,305622.44,1235
2019.11.24,305622.47,306045.72,305452.16,305774.56,1068
2019.11.25,305774,308477.19,305774,308477.19,1325
2019.11.26,308477.16,309865.44,308477.16,309643.75,1136
2019.11.27,309643.34,311312.25,309643.34,311230.03,1349
2019.11.30,311230.06,314587.84,311230.06,314587.84,1355
2019.12.01,314587.84,318652.38,314587.84,318652.38,1657
2019.12.02,318670.5,322890.63,318670.5,320282.72,2011
2019.12.03,320194.84,320840.28,319122.16,320814.44,1430
2019.12.04,320814.38,322562.13,320814.38,322515.44,927
2019.12.07,322527.91,328469.69,322527.91,327647,905
2019.12.08,327624.81,332555.81,327624.81,332555.81,25
2019.12.09,332567.22,335999.22,332567.22,335793.22,42
2019.12.11,339434.41,339434.41,337108.63,339314.25,1686
2019.12.14,340862.72,343280.72,340862.72,343280.72,24
2019.12.15,343291.75,346738.09,343291.75,344139.34,315
2019.12.16,344115.06,344585.28,343711.28,344487.5,910
2019.12.17,344487.63,346974.72,344487.63,346887.13,676
2019.12.18,346870.72,350323.03,346870.72,350323.03,1481
2019.12.21,350322.59,354259.81,350322.59,353986.88,964
2019.12.22,353996.72,353996.72,353996.72,353996.72,5
