date,open,high,low,close,volume,open_interest,contract,undajusted_close
2004-09-24,80.77593001,80.86504977,80.55313059,80.70909018,780351,1548810,200412,113.203125
2004-09-27,80.67567027,80.98758946,80.5865505,80.87618975,553910,1573794,200412,113.4375
2004-09-28,80.89846969,81.08784919,80.72023015,80.83162986,783801,1581423,200412,113.375
2004-09-29,80.8539098,80.89846969,80.34147114,80.40831096,966741,1516851,200412,112.78125
2004-09-30,80.40831096,80.60883044,79.96271212,80.29691125,1097566,1499002,200412,112.625
2004-10-01,80.27463131,80.27463131,79.87359235,79.96271212,863944,1536449,200412,112.15625
2004-10-04,79.97385209,80.0852518,79.70649279,80.04069192,662590,1501504,200412,112.265625
2004-10-05,80.05183189,80.14095166,79.96271212,80.0852518,631147,1534336,200412,112.328125
2004-10-06,80.07411183,80.0852518,79.75105267,79.80675253,619411,1548439,200412,111.9375
2004-10-07,79.77333261,79.87359235,79.60623305,79.69535282,740460,1535659,200412,111.78125
2004-10-08,79.70649279,80.37489105,79.70649279,80.26349134,952869,1594671,200412,112.578125
2004-10-12,80.26349134,80.55313059,80.2412114,80.44173087,544445,1569823,200412,112.828125
2004-10-13,80.4305909,80.73137012,80.23007142,80.63111038,751139,1570679,200412,113.09375
2004-10-14,80.73137012,80.98758946,80.63111038,80.94302957,683897,1595953,200412,113.53125
2004-10-15,80.94302957,81.09898917,80.40831096,80.72023015,1144095,1629028,200412,113.21875
2004-10-18,80.6645303,80.78706998,80.54199061,80.73137012,461313,1611535,200412,113.234375
2004-10-19,80.74251009,80.82048989,80.40831096,80.76479003,840823,1646083,200412,113.28125
2004-10-20,80.79820995,81.08784919,80.78706998,81.0098694,711226,1670875,200412,113.625
2004-10-21,81.03214934,81.22152885,80.89846969,80.97644948,988698,1694441,200412,113.578125
2004-10-22,80.9318896,81.15468902,80.80934992,81.08784919,583366,1697077,200412,113.734375
2004-10-25,81.21038888,81.38862841,81.16582899,81.19924891,592445,1696970,200412,113.890625
2004-10-26,81.16582899,81.31064862,81.05442928,81.13240908,641469,1711041,200412,113.796875
2004-10-27,81.06556925,81.2772287,80.5865505,80.63111038,1217775,1752276,200412,113.09375
2004-10-28,80.61997041,80.88732972,80.31919119,80.69795021,1202316,1733286,200412,113.1875
2004-10-29,80.83162986,80.98758946,80.63111038,80.96530951,806666,1716905,200412,113.5625
2004-11-01,80.96530951,80.96530951,80.61997041,80.65339032,599200,1715990,200412,113.125
2004-11-02,80.68681024,80.86504977,80.56427056,80.73137012,472003,1715326,200412,113.234375
2004-11-03,80.8539098,80.88732972,80.09639177,80.77593001,1194054,1731039,200412,113.296875
2004-11-04,80.73137012,80.9318896,80.6645303,80.75365006,747884,1692721,200412,113.265625
2004-11-05,80.69795021,80.77593001,79.49483334,80.15209163,1426767,1732245,200412,112.421875
2004-11-08,80.12981169,80.15209163,79.95157215,80.04069192,623287,1734763,200412,112.265625
2004-11-09,80.01841198,80.18551154,80.007272,80.05183189,545465,1704148,200412,112.28125
2004-11-10,79.98499206,80.10753174,79.77333261,79.86245238,886832,1817290,200412,112.015625
2004-11-12,79.98499206,80.28577128,79.91815224,80.12981169,777658,1824392,200412,112.390625
2004-11-15,80.23007142,80.26349134,80.06297186,80.17437157,451316,1812491,200412,112.453125
2004-11-16,80.18551154,80.26349134,79.96271212,80.07411183,722735,1796302,200412,112.3125
2004-11-17,80.0852518,80.49743073,79.78447258,80.41945093,1213494,1791617,200412,112.796875
2004-11-18,80.47515079,80.54199061,80.29691125,80.48629076,822746,1751902,200412,112.890625
2004-11-19,80.49743073,80.61997041,79.90701226,80.06297186,1266390,1801493,200412,112.296875
2004-11-22,80.04069192,80.17437157,79.97385209,80.15209163,685659,1781801,200412,112.421875
2004-11-23,80.11867171,80.30805122,79.92929221,80.0852518,1041465,1804646,200412,112.328125
2004-11-24,80.06297186,80.17437157,79.96271212,80.02955195,606871,1784263,200412,112.25
2004-11-26,80.11867171,80.11867171,79.60623305,79.88473232,620655,1774448,200412,112.046875
2004-11-29,79.88473232,79.95157215,79.3945736,79.46141342,1541199,1832344,200412,111.453125
2004-11-30,79.55053319,79.5839531,79.30545383,79.46141342,656259,1753428,200412,111.453125
2004-12-01,79.51711328,79.68421284,79.3165938,79.38343363,293547,1739586,200412,111.34375
2004-12-02,79.41763316,79.48489824,79.11494032,79.29431386,1092621,1757924,200503,110.515625
2004-12-03,79.22704878,80.24723577,79.20462709,80.00059716,1583731,1758149,200503,111.5
2004-12-06,80.05665139,80.22481408,79.97817546,80.12391646,603424,1668196,200503,111.671875
2004-12-07,80.19118154,80.19118154,79.97817546,80.12391646,660404,1632006,200503,111.671875
2004-12-08,80.14633815,80.74051299,80.02301885,80.65082623,1158808,1657372,200503,112.40625
2004-12-09,80.67324792,80.84141061,80.43782015,80.53871777,899916,1666839,200503,112.25
2004-12-10,80.48266354,80.76293469,80.43782015,80.62840453,624939,1676178,200503,112.375
2004-12-13,80.594772,80.81898892,80.50508523,80.66203707,547326,1666814,200503,112.421875
2004-12-14,80.67324792,80.83019976,80.48266354,80.77414553,500760,1662145,200503,112.578125
2004-12-15,80.79656722,81.04320584,80.7180913,80.98715161,526943,1662177,200503,112.875
2004-12-16,81.0095733,81.05441668,80.42660931,80.49387438,753230,1687892,200503,112.1875
2004-12-17,80.48266354,80.5723503,80.12391646,80.38176592,748925,1650306,200503,112.03125
2004-12-20,80.37055507,80.51629607,80.32571169,80.37055507,226022,1620931,200503,112.015625
2004-12-21,80.43782015,80.53871777,80.31450084,80.50508523,254656,1581801,200503,112.203125
2004-12-22,80.49387438,80.53871777,80.31450084,80.38176592,320397,1586065,200503,112.03125
