date,open,high,low,close,volume,open_interest,contract,unadjusted_close
2001-08-30,634.2655917,634.2655917,621.5802798,627.0067743,89,1202,200112,444.85
2001-08-31,635.6750708,648.3603826,635.6750708,641.3129871,91,1197,200112,455
2001-09-04,636.802654,645.5414244,636.802654,645.5414244,37,1191,200112,458
2001-09-05,648.3603826,656.5353613,648.3603826,655.6191999,14,1163,200112,465.15
2001-09-06,648.3603826,648.3603826,639.903508,645.5414244,18,1168,200112,458
2001-09-07,648.3603826,655.407778,639.903508,640.8196694,42,1159,200112,454.65
2001-09-10,644.1319453,646.9509035,641.3129871,646.9509035,15,1159,200112,459
2001-09-14,646.9509035,646.9509035,646.9509035,646.9509035,0,1159,200112,459
2001-09-17,651.1793408,662.4551735,651.1793408,662.4551735,9,1159,200112,470
2001-09-18,653.998299,662.4551735,652.5888199,662.4551735,27,1162,200112,470
2001-09-19,651.1793408,655.407778,651.1793408,655.407778,27,1157,200112,465
2001-09-20,637.0845498,648.3603826,634.2655917,635.6750708,38,1159,200112,451
2001-09-21,634.2655917,634.2655917,622.9897589,622.9897589,21,1166,200112,442
2001-09-24,613.1234053,620.1708007,607.4854889,607.4854889,23,1177,200112,431
2001-09-25,593.390698,593.390698,586.3433025,593.390698,20,1195,200112,421
2001-09-26,568.0200743,568.0200743,535.6020552,555.8985541,27,1208,200112,394.4
2001-09-27,541.2399716,541.2399716,528.5546597,535.6020552,65,1230,200112,380
2001-09-28,514.4598688,514.4598688,500.3650779,503.1840361,45,1241,200112,357
2001-10-01,465.1281006,472.175496,456.671226,458.151179,98,1215,200112,325.05
2001-10-02,456.671226,474.9944542,448.2143514,472.175496,42,1211,200112,335
2001-10-03,479.2228915,504.5935151,479.2228915,483.4513288,68,1248,200112,343
2001-10-04,469.3565378,479.2228915,469.3565378,480.6323706,11,1248,200112,341
2001-10-05,500.3650779,507.4124733,479.2228915,489.7939847,45,1259,200112,347.5
