RDSANLEUR;Royal Dutch Shell PLC;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
RENNLEUR;RELX NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
ULNLEUR;Unibail-Rodamco SE;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
UNANLEUR;Unilever NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
VPKNLEUR;Koninklijke Vopak NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1
WKLNLEUR;Wolters Kluwer NV;Stocks;Netherlands;15.11.2016;15.11.2016;3;0.01;0;0.01;0.001;1

DNBNONOK;DNB ASA;Stocks;Norway;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
MHGNONOK;Marine Harvest ASA;Stocks;Norway;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
NHYNONOK;Norsk Hydro ASA;Stocks;Norway;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
ORKNONOK;Orkla ASA;Stocks;Norway;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
STLNONOK;Statoil ASA;Stocks;Norway;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
TELNONOK;Telenor ASA;Stocks;Norway;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
YARNONOK;Yara International ASA;Stocks;Norway;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1

EDPPTEUR;EDP - Energias de Portugal SA;Stocks;Portugal;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
GALPPTEUR; Galp Energia SGPS SA;Stocks;Portugal;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1

ABEESEUR;Abertis Infraestructuras SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
ACSESEUR;ACS Actividades de Construccion y Servicios SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
ACXESEUR;Acerinox SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
AENAESEUR;Aena SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
AMSESEUR;Amadeus IT Holding SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
BBVAESEUR;Banco Bilbao Vizcaya Argentaria SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
CABKESEUR;CaixaBank;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
DIAESEUR;Distribuidora Internacional de Alimentacion SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
ELEESEUR;Endesa SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
ENGESEUR;Enagas SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
FERESEUR;Ferrovial SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
GAMESEUR;Gamesa Corporacion Tecnologica SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
GASESEUR;Gas Natural SDG SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
IBEESEUR;Iberdrola SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
ITXESEUR;Inditex SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
MAPESEUR;Mapfre SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
POPESEUR;Banco Popular Espanol SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
REEESEUR;Red Electrica Corp SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
REPESEUR;Repsol SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
SABESEUR;Banco de Sabadell SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
SANESEUR;Banco Santander SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
TEFESEUR;Telefonica SA;Stocks;Spain;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1

ABBSESEK;ABB Ltd;Stocks;Sweden;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
ALFASESEK;Alfa Laval AB;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
ATCOASESEK;Atlas Copco AB;Stocks;Sweden;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
AZNSESEK;AstraZeneca PLC;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
ELUXBSESEK;Electrolux AB;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
ERICBSESEK;Telefonaktiebolaget LM Ericsson;Stocks;Sweden;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
GETIBSESEK;Getinge AB;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
HMBSESEK;Hennes & Mauritz AB;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
INVEBSESEK;Investor AB;Stocks;Sweden;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
NDASESEK;Nordea Bank AB;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
SANDSESEK;Sandvik AB;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
SCABSESEK;Svenska Cellulosa AB;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
SEBASESEK;Skandinaviska Enskilda Banken AB;Stocks;Sweden;14.11.2016;14.11.2016;3;0.01;0;0.01;0.001;1
SECUBSESEK;Securitas AB;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
SKABSESEK;Skanska AB;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
SKFBSESEK;SKF AB;Stocks;Sweden;07.11.2016;07.11.2016;3;0.01;0;0.01;0.001;1
